L(T-168),L(T)
6643.44972,6784.52112
3907.9116,6818.1912
7154.892,6683.51088
6498.32544,6717.18096
6414.15024,6813.35892
7272.11376,6745.39524
8264.7576,7390.2708
8058.996,8602.70544
7751.60064,8624.8404
7267.1256,8504.8128
6523.11036,8189.62344
5761.79244,7832.81412
5363.8308,7085.21364
5104.2906,5467.64688
4993.14816,5329.22544
5202.65088,5467.64688
5761.3248,5502.25224
5988.28608,6021.33264
6197.7888,6111.11952
6424.75008,6784.52112
6644.22912,6893.0136
6626.4588,6932.29536
6847.34076,6286.6404
6354.60408,6609.46788
6354.60408,6541.5042
6150.71304,6337.61316
5827.88556,6395.7564
5929.83108,6618.6648
6127.95456,6618.6648
6843.75552,6567.2244
8063.04888,7098.7752
8063.04888,8607.6936
8063.04888,8607.6936
6955.67736,8590.5468
6687.252,8710.5744
5709.8844,7613.1792
5554.16028,7218.8028
5450.3442,5571.46296
5294.62008,5519.55492
5208.10668,5640.67368
5260.01472,5900.99328
5420.88288,6354.91584
6094.28448,7384.97088
6683.51088,7696.88676
6717.18096,7696.88676
6750.85104,6796.368
6835.02624,6830.34984
6919.20144,7138.05696
6700.34592,7003.37664
6447.82032,6286.6404
6422.56776,6955.67736
6456.5496,6453.89964
6354.60408,6955.67736
6473.54052,5502.25224
7051.2318,8218.773
8546.43276,8824.3668
8393.51448,8213.3172
8291.56896,8065.85472
7170.16824,7167.3624
7526.97756,6755.8392
3381.19308,6104.2608
5415.73884,5986.72728
5277.3174,5865.60852
6288.35508,5727.18708
5865.60852,5779.09512
6099.74028,5398.43616
6065.75844,6700.34592
6082.74936,7662.90492
6966.2772,7238.13192
6439.55868,6439.55868
6473.54052,6644.22912
6430.98528,6626.92644
6750.85104,6730.74252
6584.3712,6584.3712
6464.3436,6626.92644
6412.9032,6592.32108
6303.63132,6263.57016
6652.9584,6258.582
7306.0956,5555.5632
8529.44184,7962.97392
8648.37828,8264.7576
8648.37828,8058.996
7645.914,7373.124
7255.12284,7064.4816
6327.1692,6755.8392
5970.82752,5467.64688
5796.24192,5294.62008
5484.94956,5237.568
5707.07856,5156.19864
5865.60852,5624.1504
6116.7312,6292.8756
6807.2796,7340.07744
8024.7024,7321.6836
6807.2796,6721.5456
6670.1052,6755.8392
6779.37708,6395.7564
6738.6924,6367.38624
6721.5456,6367.38624
6515.784,6429.2706
6052.8204,6394.04172
6350.08356,6358.81284
6592.32108,6429.2706
7115.922,6499.72836
8179.0236,6696.13716
8218.773,6319.99872
7832.81412,5986.72728
7747.85952,5623.371
8410.5054,5935.9104
6167.70396,5708.94912
5522.049,5692.58172
5242.71204,5484.94956
5126.8932,5447.07072
5478.09084,5534.36352
5757.58368,5586.7392
6145.41312,5866.07616
7076.79612,7336.33632
7272.11376,6634.2528
7679.89584,6529.50144
7272.73728,6211.66212
6801.35616,6471.20232
6750.85104,6038.63532
6144.7896,5778.78336
6127.95456,5727.18708
6133.72212,5604.19776
6082.74936,5727.18708
6762.38616,6232.70592
7051.2318,7249.82292
8257.89888,7993.83816
8374.49712,7699.6926
8144.73,7262.76096
7218.8028,6878.67264
