L(T-24),L(T)
5709.8844,6150.71304
5536.8576,6065.75844
5536.8576,6133.72212
5069.68524,6031.7766
4913.96112,5369.13072
7098.7752,7102.20456
8213.3172,7201.656
8299.0512,7510.2984
8058.996,8054.4304
7716.06,5028.06528
6652.9584,6686.62848
6207.1416,6005.74464
5847.99408,5534.36352
5425.24752,5301.94644
5337.17532,5178.64536
5390.01864,5301.94644
5583.77748,5513.31972
6180.33024,5597.6508
6292.8756,6656.8554
6575.48604,6279.46992
6633.00576,6060.6144
6750.85104,6581.87712
6565.6656,6507.2106
6252.65856,6614.7678
6150.71304,6632.694
6065.75844,6184.07136
6133.72212,6075.57888
6031.7766,5967.0864
5369.13072,6127.95456
7102.20456,7441.08768
7201.656,8115.8922
7510.2984,7390.2708
8054.4304,6546.96
5028.06528,6677.43156
6686.62848,6422.56776
6005.74464,5518.152
5534.36352,5534.36352
5301.94644,5220.10944
5178.64536,4905.85536
5301.94644,4958.23104
5513.31972,5150.2752
5597.6508,5335.14888
6656.8554,6116.7312
6279.46992,5854.38516
6060.6144,6320.62224
6581.87712,6422.56776
6507.2106,5161.1868
6614.7678,5246.9208
6632.694,6241.4352
6184.07136,5831.00316
6075.57888,5658.444
5967.0864,5692.7376
6127.95456,5812.7652
7441.08768,6500.81952
8115.8922,7442.02296
7390.2708,7353.639
6546.96,6972.98004
6677.43156,6540.41304
6422.56776,5656.57344
5518.152,5743.86624
5534.36352,4870.93824
5220.10944,4731.26976
4905.85536,4597.36884
4958.23104,4456.45332
5150.2752,4791.12768
5335.14888,5178.64536
6116.7312,5827.88556
5854.38516,5199.22152
6320.62224,6439.55868
6422.56776,6550.0776
5161.1868,6430.05
5246.9208,6371.595
6241.4352,6235.66764
5831.00316,5847.0588
5658.444,5607.0036
5692.7376,5589.8568
5812.7652,5761.3248
6500.81952,7201.656
7442.02296,7102.20456
7353.639,7287.39
6972.98004,7232.52024
6540.41304,6567.2244
5656.57344,5952.12192
5743.86624,5363.8308
4870.93824,5324.8608
4731.26976,4967.27208
4597.36884,4932.0432
4456.45332,4797.9864
4791.12768,5011.23024
5178.64536,5294.62008
5827.88556,5935.9104
5199.22152,6378.6096
6439.55868,6395.7564
6550.0776,5287.4496
6430.05,5832.71784
6371.595,5270.61456
6235.66764,5097.276
5847.0588,7630.48188
5607.0036,7153.17732
5589.8568,6626.4588
5761.3248,7493.1516
7201.656,7047.3348
7102.20456,6073.24068
7287.39,5727.18708
7232.52024,5484.94956
6567.2244,5412.1536
5952.12192,5307.40224
5363.8308,5255.02656
5324.8608,5272.48512
4967.27208,5246.9208
4932.0432,5437.0944
4797.9864,5673.40848
5011.23024,5687.59356
5294.62008,5821.02684
5935.9104,5799.67128
6378.6096,5606.06832
6395.7564,5808.0888
5287.4496,5454.55296
5832.71784,5454.08532
5270.61456,5415.73884
5097.276,5571.46296
7630.48188,6505.80768
7153.17732,6881.3226
6626.4588,7102.20456
7493.1516,7013.0412
7047.3348,6841.5732
6073.24068,6310.0224
5727.18708,5589.8568
5484.94956,5315.508
5412.1536,5156.19864
5307.40224,4923.31392
5255.02656,5150.2752
5272.48512,5132.81664
5246.9208,5303.0376
5437.0944,6077.44944
5673.40848,5959.60416
5687.59356,6021.17676
5821.02684,5954.46012
5799.67128,5148.24876
5606.06832,5301.16704
5808.0888,5301.16704
5454.55296,4585.2102
5454.08532,4886.838
5415.73884,4818.2508
5571.46296,4886.838
6505.80768,7000.25904
6881.3226,7204.15008
7102.20456,7081.6284
7013.0412,7102.20456
6841.5732,7051.2318
6310.0224,5878.85832
5589.8568,5335.14888
5315.508,5394.69504
5156.19864,5185.19232
4923.31392,4983.17184
5150.2752,4152.6432
5132.81664,4663.9296
5303.0376,4848.49152
6077.44944,5824.92384
5959.60416,6048.76752
6021.17676,6207.1416
5954.46012,5551.82208
5148.24876,5980.80384
5301.16704,5720.95188
5301.16704,5622.90336
4585.2102,5707.07856
4886.838,5929.83108
